P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Kepler-1264 b,0,0.29108932,Terran,Hot,,,1.17705,0.96852602,1828.8831,0.01908954,Kepler-1264,G,0.99,0.98,5791,0.9677319
Kepler-1265 b,0,0.31112734,Terran,Hot,,,1.3452,6.4944129,687.71971,0.06076063,Kepler-1265,K,0.71,0.69,4630,0.1960247
Kepler-1266 b,0,0.32772725,Neptunian,Hot,,,2.5783,28.474748,470.95116,0.16937377,Kepler-1266,K,0.8,0.76,5044,0.33497789
Kepler-1267 b,0,0.21788262,Neptunian,Hot,,,3.01549,13.031394,873.61068,0.11351923,Kepler-1267,F,1.15,1.2,6096,1.7816852
Kepler-1268 b,0,0.30875429,Superterran,Hot,,,2.02901,40.990399,557.88351,0.23717357,Kepler-1268,G,1.06,1.09,5904,1.2933827
Kepler-1269 b,0,0.31721971,Superterran,Hot,,,1.62545,37.333154,596.88041,0.22561618,Kepler-1269,G,1.1,1.15,5998,1.5335932
Kepler-127 b,0,0.29248512,Terran,Hot,,,1.40125,14.435889,887.74517,0.125,Kepler-127,F,,1.36,6106,2.3035289
Kepler-127 c,0,0.2456248,Neptunian,Hot,,,2.65677,29.393195,701.82418,0.2,Kepler-127,F,,1.36,6106,2.3035289
Kepler-127 d,0,0.26636997,Neptunian,Hot,,,2.64556,48.630408,593.14969,0.28,Kepler-127,F,,1.36,6106,2.3035289
Kepler-1270 b,0,0.1983718,Neptunian,Hot,,,3.31816,6.033562,1541.3255,0.07040909,Kepler-1270,K,1.28,3.38,5047,6.6413331
Kepler-1271 b,0,0.28108888,Terran,Hot,,,1.47972,3.0255955,1454.3826,0.04263271,Kepler-1271,F,1.13,1.23,6143,1.9302828
Kepler-1272 b,0,0.30761016,Superterran,Hot,,,2.36531,51.13097,520.18544,0.27483216,Kepler-1272,G,1.06,1.09,5926,1.3127688
Kepler-1273 b,0,0.28702689,Superterran,Hot,,,2.48862,28.625653,552.61128,0.1793587,Kepler-1273,G,0.94,0.91,5566,0.71210533
Kepler-1274 b,0,0.28365182,Terran,Hot,,,1.42367,6.981527,1410.5838,0.080897017,Kepler-1274,F,1.45,2.17,6179,6.1500818
Kepler-1275 b,0,0.28110182,Terran,Hot,,,1.47972,3.6569111,1450.7998,0.04976082,Kepler-1275,F,1.23,1.36,6296,2.6039062
Kepler-1276 b,0,0.29917145,Terran,Hot,,,1.18826,12.57201,902.51183,0.11051324,Kepler-1276,F,1.14,1.21,6188,1.9233601
Kepler-1277 b,0,0.3643974,Superterran,Hot,,,1.60303,40.836501,494.6491,0.2272922,Kepler-1277,G,0.94,0.92,5578,0.73413908
Kepler-1278 b,0,0.29457963,Terran,Hot,,,1.0089,3.2394134,1369.1682,0.044353524,Kepler-1278,F,1.11,1.16,6074,1.6409818
