P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
HAT-P-15 b,0,0.084145052,Jovian,Hot,,616.58633,11.8826,10.8635,817.59968,0.097706888,HAT-P-15,G,1,1.07,5568,0.98594595
HAT-P-16 b,0,0.063405877,Jovian,Hot,,1332.6528,14.44969,2.77596,1487.1589,0.041326762,HAT-P-16,F,1.22,1.24,6158,1.9810286
HAT-P-17 b,0,0.091504247,Jovian,Hot,,184.34024,11.7705,10.33852,703.3723,0.09821502,HAT-P-17,K,0.99,0.87,5246,0.51361807
HAT-P-17 c,0,0.087093496,Jovian,Cold,,1080.6152,,5584,90.240865,6.02588,HAT-P-17,K,0.99,0.87,5246,0.51361807
HAT-P-18 b,0,0.09099285,Jovian,Hot,,62.612117,11.15395,5.508023,775.1085,0.056097215,HAT-P-18,K,0.77,0.75,4803,0.2682017
HAT-P-19 b,0,0.076361023,Jovian,Hot,,92.805777,12.68972,4.008778,922.37938,0.046704594,HAT-P-19,K,0.84,0.82,4990,0.37352402
HAT-P-2 b,0,0.072495013,Jovian,Hot,,2739.6774,,5.6335158,1247.3684,0.077253583,HAT-P-2,F,1.33,1.39,6380,2.8681441
HAT-P-20 b,0,0.095951003,Jovian,Hot,,2302.9817,9.71907,2.875317,885.45688,0.036104061,HAT-P-20,K,0.76,0.69,4595,0.19016426
HAT-P-21 b,0,0.073790623,Jovian,Hot,,1547.8224,12.4431,4.12448,1161.3456,0.055492469,HAT-P-21,G,1.24,1.21,5588,1.2790425
HAT-P-22 b,0,0.071614753,Jovian,Hot,,785.03517,12.8915,3.21222,1168.8833,0.04437715,HAT-P-22,G,1.13,1.11,5302,0.87235549
HAT-P-23 b,0,0.072926318,Jovian,Hot,,425.88952,12.2189,1.21288,1870.5861,0.018670258,HAT-P-23,G,0.58,0.96,5905,1.0039468
HAT-P-24 b,0,0.062908338,Jovian,Hot,,238.371,14.573,3.35524,1494.8053,0.048823419,HAT-P-24,F,1.37,1.38,6373,2.8146377
HAT-P-25 b,0,0.073312811,Jovian,Hot,,180.84413,12.72335,3.6528151,1080.8466,0.046612326,HAT-P-25,G,1.01,0.92,5519,0.70356767
HAT-P-26 b,0,0.1222707,Jovian,Hot,,22.24796,7.0623,4.23452,904.62801,0.053567421,HAT-P-26,K,1.12,0.87,5079,0.45127368
HAT-P-27 b,0,0.079928269,Jovian,Hot,,197.05336,11.4342,3.039577,1108.1134,0.04,HAT-P-27,G,0.94,0.9,5300,0.57263402
HAT-P-28 b,0,0.067817587,Jovian,Hot,,198.96033,13.58652,3.257215,1260.2196,0.043456442,HAT-P-28,G,1.02,1.1,5680,1.1284111
HAT-P-29 b,0,0.070719055,Jovian,Hot,,279.68864,13.1157,5.72319,1148.6196,0.07114532,HAT-P-29,F,1.45,1.3,6087,2.0786844
HAT-P-3 b,0,0.086213809,Jovian,Hot,,206.5882,10.5374,2.8997,1058.3647,0.040567684,HAT-P-3,K,1.06,0.87,5185,0.49014231
HAT-P-30 b,0,0.057415705,Jovian,Hot,,263.79724,16.1424,2.8106,1497.4388,0.045133614,HAT-P-30,F,1.55,1.31,6304,2.4282649
HAT-P-31 b,0,0.074304061,Jovian,Hot,,721.46957,12.2189,5.00542,1254.2468,0.064603736,HAT-P-31,F,1.31,1.39,6065,2.3422943
HAT-P-32 b,0,0.042685576,Jovian,Hot,,216.12304,22.1958,2.1500082,1677.113,0.034399398,HAT-P-32,F,1.13,1.37,6001,2.1808424
HAT-P-33 b,0,0.045526776,Jovian,Hot,,292.40176,20.7385,3.47447,1623.8193,0.054801493,HAT-P-33,F,1.82,1.79,6446,4.9562809
HAT-P-34 b,0,0.06192905,Jovian,Hot,,2227.9743,15.1335,5.45265,1176.2975,0.10777349,HAT-P-34,F,4.26,1.73,6442,4.6181043
HAT-P-35 b,0,0.025205118,Jovian,Hot,1653,2390.0666,39.7955,3.64671,1440.5163,0.13295281,HAT-P-35,F,23.56,3.82,6096,18.054905
HAT-P-36 b,0,0.063657576,Jovian,Hot,,587.40972,14.31517,1.3273468,1627.2772,0.0241,HAT-P-36,G,1.03,1.04,5620,0.96671974
HAT-P-37 b,0,0.070149202,Jovian,Hot,,371.54094,13.20538,2.797436,1167.9119,0.037963748,HAT-P-37,G,0.93,0.88,5500,0.63489915
HAT-P-38 b,0,0.097199814,Jovian,Hot,,84.860077,9.24825,4.640382,985.06605,0.052417387,HAT-P-38,G,0.89,0.92,5330,0.6120306
HAT-P-39 b,0,0.052887086,Jovian,Hot,,190.37897,17.61091,3.54387,1598.9197,0.0509,HAT-P-39,F,1.4,1.62,6430,4.0194124
HAT-P-40 b,0,0.054465893,Jovian,Hot,,152.55744,17.0392,4.45724,1613.5107,0.05351793,HAT-P-40,F,1.03,1.94,6080,4.6079358
HAT-P-41 b,0,0.04123942,Jovian,Hot,,378.21532,22.9805,2.69405,1771.4608,0.051823488,HAT-P-41,F,2.56,2.05,6390,6.2776891
HAT-P-42 b,0,0.064427332,Jovian,Hot,,331.81244,14.3488,4.641878,1305.773,0.0575,HAT-P-42,G,1.18,1.53,5743,2.2815331
HAT-P-43 b,0,0.064737417,Jovian,Hot,,210.40214,14.36001,3.332687,1239.8681,0.0443,HAT-P-43,F,1.05,1.1,5645,1.1008542
HAT-P-44 b,0,0.068902393,Jovian,Hot,,111.87546,13.92282,4.301219,1010.1556,0.050749078,HAT-P-44,K,0.94,0.95,5295,0.63562316
HAT-P-44 c,0,0.25420004,Jovian,Cold,,1271.312,,872.2,169.07138,1.9657755,HAT-P-44,K,0.94,0.95,5295,0.63562316
HAT-P-45 b,0,0.057896597,Jovian,Hot,,283.50258,15.98546,3.128992,1507.5555,0.045254263,HAT-P-45,F,1.26,1.32,6330,2.5064056
HAT-P-46 b,0,0.064136187,Jovian,Hot,,156.68921,14.39364,4.463129,1327.4931,0.058136472,HAT-P-46,F,1.28,1.4,6120,2.4634877
HAT-P-49 b,0,0.051947458,Jovian,Hot,,699.22161,17.8239,2.69155,1941.4251,0.049388842,HAT-P-49,F,2.22,2.06,6820,8.2254674
HAT-P-5 b,0,0.067297284,Jovian,Hot,,311.47144,13.5641,2.78849,1402.8858,0.039273541,HAT-P-5,G,1.04,1.12,5960,1.4181094
HAT-P-50 b,0,0.063072362,Jovian,Hot,,429.0678,14.43848,3.1220109,1694.306,0.045599546,HAT-P-50,F,1.27,1.7,6280,4.0274028
HAT-P-51 b,0,0.065484818,Jovian,Hot,,98.208853,14.49453,4.2180278,1086.8687,0.051073445,HAT-P-51,G,0.98,1.04,5449,0.8543239
HAT-P-52 b,0,0.080637705,Jovian,Hot,,259.98331,11.31089,2.7535953,1109.9557,0.0369808,HAT-P-52,K,0.89,0.89,5131,0.49189988
HAT-P-53 b,0,0.061887128,Jovian,Hot,,471.65676,14.77478,1.9616241,1622.9304,0.031873615,HAT-P-53,G,1.09,1.21,5956,1.650738
HAT-P-54 b,0,0.096403172,Jovian,Hot,,241.54928,10.58224,3.799847,750.6511,0.041282723,HAT-P-54,K,0.65,0.62,4390,0.12791754
HAT-P-55 b,0,0.069688392,Jovian,Hot,,184.9759,13.25022,3.5852467,1197.5938,0.046484769,HAT-P-55,G,1.01,1.01,5808,1.0400107
HAT-P-56 b,0,0.054693141,Jovian,Hot,,734.18269,16.9271,2.79083,1680.5934,0.04359412,HAT-P-56,F,1.42,1.47,6566,3.5985441
HAT-P-57 b,0,0.04805426,Jovian,Hot,,448.13748,19.5054,2.4653,1694.6577,0.050147504,HAT-P-57,A,2.77,1.85,6330,4.9231939
HAT-P-6 b,0,0.05595888,Jovian,Hot,,419.53296,16.5908,3.85298,1525.3778,0.058388197,HAT-P-6,F,1.79,1.62,6570,4.3810696
HAT-P-65 b,0,0.044441259,Jovian,Hot,,167.49536,21.1869,2.6054552,1754.2365,0.041335678,HAT-P-65,G,1.21,1.86,5835,3.5931717
HAT-P-66 b,0,0.052121025,Jovian,Hot,,248.85933,17.8239,2.972086,1735.7175,0.043806702,HAT-P-66,G,1.25,1.88,6002,4.1094936
HAT-P-67 b,0,0.040601024,Jovian,Hot,,108.06152,23.37285,4.8101025,1767.8705,0.06505,HAT-P-67,F,1.64,2.55,6406,9.8110784
HAT-P-69 b,0,0.049644602,Jovian,Hot,,1137.8243,18.78796,4.7869491,1768.4339,0.06555,HAT-P-69,A,1.65,1.93,7394,9.9751871
HAT-P-7 b,0,0.05439675,Jovian,Hot,,584.80353,16.9271,2.20474,2031.2823,0.038440527,HAT-P-7,F,1.56,2,6389,5.9714554
HAT-P-70 b,0,0.04459505,Jovian,Hot,,2154.8739,20.9627,2.7443245,2333.3877,0.04739,HAT-P-70,A,1.89,1.86,8450,15.803067
HAT-P-8 b,0,0.058648175,Jovian,Hot,,406.81984,15.694,3.07634,1617.4285,0.044819501,HAT-P-8,F,1.27,1.57,6200,3.2632828
HAT-P-9 b,0,0.059388566,Jovian,Hot,,238.05317,15.61553,3.9228107,1408.4669,0.053056525,HAT-P-9,F,1.28,1.34,6350,2.6157314
HATS-1 b,0,0.063736251,Jovian,Hot,,589.57095,14.59542,3.446459,1251.0884,0.04471968,HATS-1,G,0.99,1.04,5870,1.1505559
HATS-10 b,0,0.081889194,Jovian,Hot,,167.17753,10.86249,3.312846,1261.2249,0.050546227,HATS-10,G,1.1,1.1,5880,1.2959353
HATS-11 b,0,0.051761042,Jovian,Hot,,,18.03689,3.619188,1594.3213,0.0507,HATS-11,G,1.33,1.54,6563,3.9422095
HATS-12 b,0,0.10794607,Jovian,Hot,,,7.75732,3.142702,1443.2545,0.0441,HATS-12,F,1.16,1.17,6357,2.0029459
HATS-13 b,0,0.068652447,Jovian,Hot,,172.58061,13.58652,3.0440499,1137.8565,0.041234557,HATS-13,G,0.96,0.89,5523,0.66034187
HATS-14 b,0,0.078135431,Jovian,Hot,,340.39379,11.64719,2.7667641,1161.9567,0.038534628,HATS-14,G,0.97,0.93,5346,0.63295139
HATS-15 b,0,0.072989217,Jovian,Hot,,689.68677,12.38705,1.7474875,1362.1022,0.027335279,HATS-15,G,0.87,0.92,5311,0.60335026
HATS-16 b,0,0.063012482,Jovian,Hot,,1039.2976,14.573,2.686502,1455.5279,0.03744,HATS-16,G,0.97,1.24,5738,1.4933933
HATS-17 b,0,0.1120395,Jovian,Hot,,425.25387,8.71017,16.254611,743.81069,0.130855,HATS-17,G,1.13,1.09,5846,1.2433027
HATS-18 b,0,0.061143467,Jovian,Hot,,629.14053,14.89809,0.83784,1889.864,0.0174,HATS-18,G,1.04,1.02,5600,0.91672927
HATS-2 b,0,0.069296703,Jovian,Hot,,427.47866,13.09328,1.354133,1441.2088,0.023,HATS-2,K,0.88,0.9,5227,0.54173097
HATS-22 b,0,0.09348354,Jovian,Hot,,870.84873,10.68313,4.7228124,784.18126,0.050406805,HATS-22,K,0.76,0.69,4803,0.22700592
HATS-23 b,0,0.045500922,Jovian,Hot,,467.20716,20.8506,2.1605156,1512.982,0.034190737,HATS-23,G,1.12,1.2,5780,1.44
HATS-24 b,0,0.058563842,Jovian,Hot,,718.29129,15.63795,1.3484978,1852.0116,0.0238,HATS-24,F,1.07,1.12,6125,1.5817909
HATS-25 b,0,0.066152413,Jovian,Hot,,194.82857,14.1246,4.2986432,1165.7245,0.052429645,HATS-25,G,0.99,1.11,5715,1.1776047
HATS-26 b,0,0.047717259,Jovian,Hot,,206.5882,19.6175,3.3023881,1749.7516,0.048771092,HATS-26,F,1.3,2.04,6071,5.065122
HATS-27 b,0,0.055153779,Jovian,Hot,,168.44884,16.815,4.637038,1479.3954,0.071412489,HATS-27,F,1.42,1.74,6438,4.6600549
HATS-28 b,0,0.06950098,Jovian,Hot,,213.58042,13.38474,3.1810781,1140.6918,0.042152807,HATS-28,G,0.93,0.92,5498,0.69292023
HATS-29 b,0,0.067162776,Jovian,Hot,,207.54169,14.02371,4.6058749,1103.1074,0.05543339,HATS-29,G,1.03,1.07,5670,1.0602016
HATS-3 b,0,0.059591911,Jovian,Hot,,340.39379,15.48101,3.547851,1504.0156,0.0485,HATS-3,F,1.21,1.4,6351,2.8570193
HATS-30 b,0,0.069496801,Jovian,Hot,,224.38657,13.17175,3.1743516,1291.7568,0.043740632,HATS-30,G,1.09,1.06,5943,1.2558082
HATS-31 b,0,0.050742785,Jovian,Hot,,279.68864,18.3844,3.37796,1662.2025,0.049097507,HATS-31,F,1.27,1.87,6050,4.1975256
HATS-32 b,0,0.065615001,Jovian,Hot,,292.40176,14.00129,2.8126548,1294.3231,0.044703441,HATS-32,G,1.1,1.1,5700,1.1443884
HATS-33 b,0,0.066718275,Jovian,Hot,,378.85098,13.7883,2.5495551,1304.377,0.037389264,HATS-33,G,1.06,1.02,5659,0.95597771
HATS-34 b,0,0.058351948,Jovian,Hot,,299.07615,16.0303,2.1061607,1318.3761,0.031844641,HATS-34,G,0.95,0.98,5380,0.72089149
HATS-35 b,0,0.056042637,Jovian,Hot,,388.38582,16.41144,1.8209993,1845.4866,0.033487708,HATS-35,F,1.32,1.43,6300,2.8861767
HATS-36 b,0,0.071194939,Jovian,Hot,,,12.92513,4.175186,1202.7615,0.0523,HATS-36,G,1.1,1.1,5950,1.3587573
HATS-39 b,0,0.053071691,Jovian,Hot,,200.23164,17.5997,4.5776348,1497.0899,0.062341397,HATS-39,F,1.38,1.62,6572,4.3864067
HATS-4 b,0,0.079056788,Jovian,Hot,,420.48645,11.4342,2.516729,1207.076,0.036203059,HATS-4,G,1,0.93,5403,0.66038076
HATS-40 b,0,0.052248616,Jovian,Hot,,505.34652,17.7118,3.2642736,1902.9853,0.05240214,HATS-40,F,1.56,2.26,6460,7.969583
HATS-41 b,0,0.061500204,Jovian,Hot,,3082.9316,14.9093,4.193649,1519.1686,0.06250926,HATS-41,F,1.5,1.71,6424,4.461727
HATS-42 b,0,0.05852623,Jovian,Hot,,597.51665,15.694,2.292102,1686.252,0.037857274,HATS-42,F,1.27,1.48,6060,2.6466869
HATS-43 b,0,0.074074148,Jovian,Hot,,82.953109,13.2278,4.3888497,908.00119,0.050179845,HATS-43,K,0.84,0.81,5099,0.39737334
HATS-44 b,0,0.077123898,Jovian,Hot,,177.98368,11.96107,2.7439004,1075.3384,0.037910209,HATS-44,K,0.86,0.85,5080,0.4311033
HATS-45 b,0,0.063800363,Jovian,Hot,,222.4796,14.41606,4.1876244,1381.0494,0.056697168,HATS-45,F,1.27,1.31,6450,2.6611545
HATS-46 b,0,0.089876699,Jovian,Hot,,54.984245,10.12263,4.7423729,943.45879,0.062055428,HATS-46,G,0.92,0.85,5495,0.59019739
HATS-5 b,0,0.090684947,Jovian,Hot,,75.325237,10.22352,4.763387,936.63584,0.054209783,HATS-5,G,0.94,0.87,5304,0.53671189
HATS-50 b,0,0.071901711,Jovian,Hot,,123.95292,12.6673,3.8297015,1221.7136,0.057177639,HATS-50,G,1.17,1.12,5990,1.4468782
HATS-51 b,0,0.058675907,Jovian,Hot,,244.09191,15.8061,3.3488702,1404.1449,0.048915936,HATS-51,G,1.19,1.44,5758,2.0422094
HATS-52 b,0,0.059177997,Jovian,Hot,,711.93473,15.49222,1.3666544,1710.8826,0.025735845,HATS-52,F,1.11,1.05,6010,1.2887395
HATS-53 b,0,0.062398556,Jovian,Hot,,189.10766,15.0214,3.8537768,1188.4219,0.050118009,HATS-53,G,0.96,1.1,5644,1.1000743
HATS-54 b,0,0.074852622,Jovian,Hot,,241.54928,11.96107,2.5441828,1487.0699,0.037928707,HATS-54,G,1.1,1.32,5702,1.6502334
HATS-55 b,0,0.066013905,Jovian,Hot,,292.71959,14.02371,4.2042001,1250.8878,0.054349036,HATS-55,F,1.2,1.13,6214,1.7058095
HATS-56 b,0,0.04935392,Jovian,Hot,,191.33246,18.92248,4.324799,1738.2185,0.060440908,HATS-56,F,1.57,2.2,6536,7.9137474
HATS-57 b,0,0.071417493,Jovian,Hot,,1000.2047,12.76819,2.350621,1290.954,0.034943693,HATS-57,G,1.03,0.96,5587,0.80453659
HATS-58 A b,0,0.073001435,Jovian,Hot,,327.36284,12.27495,4.2180896,1567.8192,0.058798214,HATS-58 A,F,1.46,1.43,7175,4.8556608
HATS-59 b,0,0.074463191,Jovian,Hot,,256.16937,12.62246,5.416081,1029.8439,0.061628549,HATS-59,G,1.04,1.04,5670,1.0015844
HATS-59 c,0,0.21076137,Jovian,Cold,,4036.4156,,1422,160.99496,2.512625,HATS-59,G,1.04,1.04,5670,1.0015844
HATS-6 b,0,0.1030073,Jovian,Hot,,101.38713,11.18758,3.3252725,651.07348,0.03623,HATS-6,M,0.57,0.57,3724,0.055985692
HATS-60 b,0,0.070206009,Jovian,Hot,,210.40214,12.92513,3.560829,1392.9479,0.047938763,HATS-60,G,1.1,1.46,5688,1.9990917
HATS-61 b,0,0.069729325,Jovian,Hot,,1080.6152,13.39595,7.817953,1118.5979,0.079414667,HATS-61,G,1.08,1.66,5542,2.3290076
HATS-62 b,0,0.077345017,Jovian,Hot,,56.891213,11.82655,3.2768837,1121.9262,0.043478455,HATS-62,G,0.9,0.93,5416,0.66675943
HATS-63 b,0,0.067949774,Jovian,Hot,,305.11488,13.53047,3.0566527,1277.1574,0.040632324,HATS-63,G,0.93,1.07,5627,1.0284042
HATS-64 b,0,0.049718486,Jovian,Hot,,305.11488,18.82159,4.908897,1635.7763,0.066368101,HATS-64,F,1.56,2.11,6554,7.3600253
HATS-65 b,0,0.055324899,Jovian,Hot,,260.93679,16.82621,3.105161,1492.9283,0.045056432,HATS-65,F,1.26,1.31,6277,2.3869304
HATS-66 b,0,0.057987,Jovian,Hot,,1694.0233,15.81731,3.1414391,1824.1952,0.047236543,HATS-66,F,1.41,1.84,6626,5.8469586
HATS-67 b,0,0.049224093,Jovian,Hot,,460.8506,18.88885,1.6091788,2002.6007,0.030369255,HATS-67,F,1.44,1.44,6594,3.5124439
HATS-68 b,0,0.065778424,Jovian,Hot,,409.99812,13.81072,3.5862202,1591.5391,0.05074286,HATS-68,F,1.35,1.75,6147,3.9175775
HATS-69 b,0,0.084175795,Jovian,Hot,,183.38676,10.59345,2.2252577,1163.9624,0.036434591,HATS-69,K,0.89,0.88,5137,0.48316143
HATS-7 b,0,0.13097739,Jovian,Hot,,38.13936,6.31123,3.185315,985.49338,0.040699734,HATS-7,K,0.85,0.81,4985,0.36301062
HATS-70 b,0,0.058712969,Jovian,Hot,,4099.9812,15.51464,1.8882378,2509.6267,0.036908384,HATS-70,A,1.78,1.88,7930,12.522675
HATS-8 b,0,0.089979155,Jovian,Hot,,43.860264,9.78633,3.583893,1198.6485,0.049969009,HATS-8,G,1.06,1.09,5679,1.1072077
HATS-9 b,0,0.065374365,Jovian,Hot,,,13.85556,1.915291,1745.0687,0.0312,HATS-9,G,1.1,1.56,5599,2.1427905
HD 100655 b,0,0.075885647,Jovian,Hot,,511.70308,,157.57001,828.77937,0.682754,HD 100655,G,2.28,10.06,4891,51.888995
HD 100777 b,0,0.388026,Jovian,Warm,,327.36284,,383.70001,243.01291,1.096744,HD 100777,G,0.83,1.04,5533,0.90823452
HD 10180 c,0,0.18831647,Neptunian,Hot,,13.221645,,5.75969,1083.6721,0.064290848,HD 10180,G,1.06,1.11,5911,1.3476541
HD 10180 d,0,0.2060965,Neptunian,Hot,,12.013899,,16.357,764.65925,0.12969337,HD 10180,G,1.06,1.11,5911,1.3476541
HD 10180 e,0,0.19939673,Neptunian,Hot,,25.585154,,49.748,528.28395,0.270251,HD 10180,G,1.06,1.11,5911,1.3476541
HD 10180 f,0,0.31522181,Neptunian,Hot,,22.947182,,122.744,390.63779,0.49638998,HD 10180,G,1.06,1.11,5911,1.3476541
HD 10180 g,0,0.50472076,Neptunian,Warm,,23.26501,,604.67,228.7781,1.4763521,HD 10180,G,1.06,1.11,5911,1.3476541
HD 10180 h,0,0.20102448,Jovian,Cold,,65.663265,,2205,149.20087,3.3962568,HD 10180,G,1.06,1.11,5911,1.3476541
HD 101930 b,0,0.24723159,Jovian,Hot,,79.457001,,70.46,380.91411,0.301815,HD 101930,K,0.57,0.86,5108,0.45111691
HD 102117 b,0,0.11686108,Jovian,Hot,,54.03076,,20.8133,713.12266,0.15108,HD 102117,G,1.06,1.23,5655,1.3862109
HD 102195 b,0,0.068925563,Jovian,Hot,,130.30948,,4.11377,946.23019,0.05,HD 102195,K,0.76,0.82,5301,0.47571579
HD 102272 b,0,0.075020202,Jovian,Hot,,1570.0703,,127.58,948.67658,0.5106375,HD 102272,K,1.45,10.3,4790,50.0386
HD 102329 b,0,0.14191937,Jovian,Hot,,2593.4765,,778.09998,485.80098,1.8499105,HD 102329,K,3.21,9.82,4745,43.798223
HD 102329 c,0,0.23936084,Jovian,Hot,,483.09856,,1123,370.12104,3.1865023,HD 102329,K,3.21,9.82,4745,43.798223
HD 102365 b,0,0.45237351,Neptunian,Hot,,15.8914,,122.1,323.00689,0.486588,HD 102365,G,0.85,,5630,0.56330155
HD 102956 b,0,0.065766402,Jovian,Hot,,305.11488,,6.4947,1649.7342,0.080755239,HD 102956,G,1.66,4.55,4985,11.454393
HD 103197 b,0,0.25142214,Neptunian,Hot,,28.60452,,47.84,434.1579,0.25,HD 103197,K,0.8,0.88,5250,0.5270978
HD 103720 b,0,0.072671979,Jovian,Hot,,197.05336,,4.5557,846.26575,0.04998416,HD 103720,K,0.79,0.73,5017,0.30248983
HD 103774 b,0,0.068810138,Jovian,Hot,,116.64288,,5.8881,1284.8083,0.0702835,HD 103774,F,1.33,,6489,3.1757856
HD 104067 b,0,0.29279435,Jovian,Hot,,50.85248,,55.806,367.12113,0.26,HD 104067,K,0.62,0.74,4937,0.2914772
HD 10442 b,0,0.34748821,Jovian,Warm,,472.61024,,1032.3,214.10921,2.0275111,HD 10442,K,1.01,1.97,4912,2.0242052
HD 104985 b,0,0.086351871,Jovian,Hot,,2637.9724,,199.505,731.1122,0.9538475,HD 104985,G,2.3,11,4877,61.331705
HD 106252 b,0,0.24368423,Jovian,Cold,,2202.5481,,1531,165.518,2.910672,HD 106252,G,1.01,1.1,5874,1.2906539
HD 106270 b,0,0.36070479,Jovian,Warm,,3219.5977,,1888,216.23194,3.3971558,HD 106270,G,1.39,2.66,5509,5.839061
HD 106315 b,0,0.23765085,Neptunian,Hot,,12.598702,2.44378,9.55237,1055.2312,0.091092232,HD 106315,F,1.09,1.3,6327,2.426424
HD 106315 c,0,0.17695376,Neptunian,Hot,,15.198535,4.34948,21.05704,808.83506,0.15731712,HD 106315,F,1.09,1.3,6327,2.426424
HD 10647 b,0,0.3186377,Jovian,Warm,,298.75832,,989.2,202.21444,2.0376687,HD 10647,F,1.11,1.1,6218,1.6206039
HD 106515 A b,0,0.1749498,Jovian,Cold,,3054.3271,,3630,137.2788,5.3408873,HD 106515 A,G,0.97,1.62,5362,1.9436851
HD 10697 b,0,0.37382064,Jovian,Warm,,2028.6961,,1075.69,225.59453,2.15164,HD 10697,G,1.13,1.79,5600,2.8232336
HD 107148 b,0,0.15540807,Jovian,Hot,,66.743881,,48.056,502.95688,0.26933625,HD 107148,G,1.12,,5797,1.0998151
HD 108147 b,0,0.08785251,Jovian,Hot,,82.953109,,10.8985,824.63247,0.1163259,HD 108147,F,1.27,,6265,1.2324703
HD 108341 b,0,0.22127026,Jovian,Cold,,1112.398,,1129,133.78227,2.7225,HD 108341,K,0.84,0.79,5122,0.38485854
HD 108863 b,0,0.1642234,Jovian,Hot,,767.2368,,437.7,448.3323,1.3206758,HD 108863,K,1.59,5.74,4878,16.71397
HD 108874 b,0,0.38905139,Jovian,Warm,,451.31576,,394.48123,247.7549,1.048788,HD 108874,G,1.1,1.05,5600,0.97144754
HD 108874 c,0,0.18969571,Jovian,Cold,,314.64972,,1624,154.54892,2.7349424,HD 108874,G,1.1,1.05,5600,0.97144754
HD 109246 b,0,0.15003247,Jovian,Hot,,273.33208,,68.27,463.41472,0.332376,HD 109246,G,1.2,1.07,5844,1.1964568
HD 109271 b,0,0.17149526,Neptunian,Hot,,17.162712,,7.8543,1000.872,0.08146875,HD 109271,G,1.05,,5783,1.5103949
HD 109271 c,0,0.17286905,Neptunian,Hot,,24.154928,,30.93,637.05228,0.198205,HD 109271,G,1.05,,5783,1.5103949
HD 109749 b,0,0.081435462,Jovian,Hot,,85.813561,,5.239891,1143.3542,0.0615,HD 109749,G,1.13,1.22,5824,1.5342417
HD 110014 b,0,0.099289411,Jovian,Hot,,3524.7126,,835.477,603.66695,2.3683851,HD 110014,K,2.17,20.9,4445,152.78062
HD 111232 b,0,0.21942755,Jovian,Cold,,2269.2919,,1143,163.80114,2.0094,HD 111232,G,0.84,0.9,5512,0.66990081
HD 111591 b,0,0.22260867,Jovian,Hot,,1398.4432,,1056.4,384.15952,2.5845,HD 111591,K,1.94,8.03,4884,32.871715
HD 111998 b,0,0.39449159,Jovian,Warm,,1433.4043,,825.9,257.95628,1.820819,HD 111998,F,1.18,1.45,6557,3.4821332
HD 113337 b,0,0.23088469,Jovian,Hot,,899.45325,,324,364.98008,1.017336,HD 113337,F,1.4,1.5,6576.6,3.7711767
HD 113538 b,0,0.13196937,Jovian,Cold,,114.41808,,663.2,128.42185,1.252152,HD 113538,K,0.58,0.53,4462,0.099760507
HD 113538 c,0,0.082930469,Jovian,Cold,,295.58004,,1818,91.430725,2.4888,HD 113538,K,0.58,0.53,4462,0.099760507
HD 113996 b,0,0.085149366,Jovian,Hot,,2002.3164,,610.2,726.41804,1.66272,HD 113996,K,1.49,25.11,4181,172.62462
HD 114386 b,0,0.15640779,Jovian,Cold,,362.32392,,937.70001,140.80904,1.7757585,HD 114386,K,0.6,0.76,4836,0.28304859
HD 114613 b,0,0.2085639,Jovian,Cold,,113.4646,,4000,155.22609,5.9000699,HD 114613,G,1.27,2.14,5641,4.1547088
HD 114729 b,0,0.35055251,Jovian,Warm,,262.2081,,1121.79,217.14308,2.0734501,HD 114729,G,0.94,1.47,5844,2.2582091
HD 114762 b,0,0.14835375,Jovian,Hot,,3397.5814,,83.9151,468.79299,0.380808,HD 114762,F,0.8,1.2,5869,1.5307617
HD 11506 b,0,0.27251519,Jovian,Cold,,1535.1093,,1622.1,179.03332,3.1031457,HD 11506,G,1.24,1.34,6030,2.127
HD 11506 c,0,0.26670987,Jovian,Hot,,129.67383,,223.41,348.89525,0.78841536,HD 11506,G,1.24,1.34,6030,2.127
HD 116029 b,0,0.24937165,Jovian,Hot,,444.9592,,670,365.66758,1.65,HD 116029,K,0.83,4.89,4819,11.554045
HD 116029 c,0,0.2600915,Jovian,Hot,,403.64156,,907,357.80984,1.7241985,HD 116029,K,0.83,4.89,4819,11.554045
HD 117207 b,0,0.14207211,Jovian,Cold,,612.13673,,2621.75,134.08926,3.8336729,HD 117207,G,1.05,1.07,5732,1.1073398
HD 11755 b,0,0.079276747,Jovian,Hot,,1789.3717,,433.70001,823.97839,1.1096745,HD 11755,G,0.72,20.58,4312,131.18809
HD 117618 b,0,0.12415447,Jovian,Hot,,55.302073,,25.8,643.42673,0.182025,HD 117618,G,1.08,,5990,1.3256213
HD 118203 b,0,0.069057152,Jovian,Hot,,886.74013,,6.1335,1393.5339,0.0733635,HD 118203,K,1.84,2.06,5864,4.4957167
HD 119130 b,0,0.24340763,Neptunian,Hot,,24.501361,2.63435,16.9841,730.61854,0.130104,HD 119130,G,1,1.09,5725,1.1435196
HD 11964 b,0,0.2325559,Jovian,Cold,,197.68902,,1945,172.44671,3.162656,HD 11964,G,1.12,,5349,2.0969924
